,year_film,film,BoxOffice
0,1927,Wings,0
1,1928,The Broadway Melody,0
2,1929,All Quiet on the Western Front,0
3,1930,Cimarron,0
4,1931,Grand Hotel,0
5,1932,Cavalcade,0
6,1934,It Happened One Night,0
7,1935,Mutiny on the Bounty,0
8,1936,The Great Ziegfeld,0
9,1937,The Life of Emile Zola,0
10,1938,You Can't Take It with You,0
11,1939,Gone with the Wind,200852579
12,1940,Rebecca,0
13,1941,How Green Was My Valley,0
14,1942,Mrs. Miniver,0
15,1943,Casablanca,4108411
16,1944,Going My Way,16300000
17,1945,The Lost Weekend,0
18,1946,The Best Years of Our Lives,23650000
19,1947,Gentleman's Agreement,0
20,1948,Hamlet,4708156
21,1949,All the King's Men,7221458
22,1950,All about Eve,63463
23,1951,An American in Paris,267824
24,1952,The Greatest Show on Earth,36000000
25,1953,From Here to Eternity,36416
26,1954,On the Waterfront,0
27,1955,Marty,0
28,1956,Around the World in 80 Days,24008137
29,1957,The Bridge on the River Kwai,27200000
30,1958,Gigi,0
31,1959,Ben-Hur,74422622
32,1960,The Apartment,18600000
33,1961,West Side Story,44055492
34,1962,Lawrence of Arabia,45306425
35,1963,Tom Jones,0
36,1964,My Fair Lady,72560711
37,1965,The Sound of Music,159287539
38,1966,A Man for All Seasons,0
39,1967,In the Heat of the Night,0
40,1968,Oliver!,0
41,1969,Midnight Cowboy,44785053
42,1970,Patton,61749765
43,1971,The French Connection,51700000
44,1972,The Godfather,134966411
45,1973,The Sting,156000000
46,1974,The Godfather Part II,47834595
47,1975,One Flew over the Cuckoo's Nest,108981275
48,1976,Rocky,117235147
49,1977,Annie Hall,38251425
50,1978,The Deer Hunter,48979328
51,1979,Kramer vs. Kramer,106260000
52,1980,Ordinary People,54766923
53,1981,Chariots of Fire,58972904
54,1982,Gandhi,52767889
55,1983,Terms of Endearment,108423489
56,1984,Amadeus,51973029
57,1985,Out of Africa,87071205
58,1986,Platoon,138530565
59,1987,The Last Emperor,43984230
60,1988,Rain Man,172825435
61,1989,Driving Miss Daisy,106593296
62,1990,Dances With Wolves,184208848
63,1991,The Silence of the Lambs,130742922
64,1992,Unforgiven,101157447
65,1993,Schindler's List,96898818
66,1994,Forrest Gump,330455270
67,1995,Braveheart,75609945
68,1996,The English Patient,78676425
69,1997,Titanic,659363944
70,1998,Shakespeare in Love,100317794
71,1999,American Beauty,130096601
72,2000,Gladiator,187705427
73,2001,A Beautiful Mind,170742341
74,2002,Chicago,170687518
75,2003,The Lord of the Rings: The Return of the King,377845905
76,2004,Million Dollar Baby,100492203
77,2005,Crash,54580300
78,2006,The Departed,132384315
79,2007,No Country for Old Men,74283625
80,2008,Slumdog Millionaire,141319928
81,2009,The Hurt Locker,17017811
82,2010,The King's Speech,138797449
83,2011,The Artist,44671682
84,2012,Argo,136025503
85,2013,12 Years a Slave,56671993
86,2014,Birdman or (The Unexpected Virtue of Ignorance),42340598
87,2015,Spotlight,45055776
88,2016,Moonlight,27854932
89,2017,The Shape of Water,63859435
90,2018,Green Book,85080171
91,2019,Parasite,53369749
