Ceremony,Won,Name,Birthdate,Film,Role
1,FALSE,Louise Dresser,"October 05, 1878",A Ship Comes In,Mrs. Pleznik
1,TRUE,Janet Gaynor,"October 06, 1906",7th Heaven; Street Angel; Sunrise,Diane; Angela; The Wife
1,FALSE,Gloria Swanson,"March 27, 1899",Sadie Thompson,Sadie Thompson
2,FALSE,Ruth Chatterton,"December 24, 1892",Madame X,Jacqueline Floriot
2,FALSE,Betty Compson,"March 19, 1897",The Barker,Carrie
2,FALSE,Jeanne Eagels,"June 26, 1890",The Letter,Leslie Crosbie
2,FALSE,Corinne Griffith,"November 21, 1894",The Divine Lady,"Emma Hart, Lady Hamilton"
2,FALSE,Bessie Love,"September 10, 1898",The Broadway Melody,Hank Mahoney
2,TRUE,Mary Pickford,"April 08, 1892",Coquette,Norma Besant
3,FALSE,Nancy Carroll,"November 19, 1903",The Devil's Holiday,Hallie Hobart
3,FALSE,Ruth Chatterton,"December 24, 1892",Sarah and Son,Sarah Storm
3,FALSE,Greta Garbo,"September 18, 1905",Anna Christie; Romance,Anna Christie; Madame Rita Cavallini
3,TRUE,Norma Shearer,"August 10, 1902",The Divorcee,Jerry
3,FALSE,Norma Shearer,"August 10, 1902",Their Own Desire,Lucia 'Lally' Marlett
3,FALSE,Gloria Swanson,"March 27, 1899",The Trespasser,Marion Donnell
4,FALSE,Marlene Dietrich,"December 27, 1901",Morocco,Amy Jolly
4,TRUE,Marie Dressler,"November 09, 1868",Min and Bill,Min
4,FALSE,Irene Dunne,"December 20, 1898",Cimarron,Sabra Cravat
4,FALSE,Ann Harding,"August 07, 1902",Holiday,Linda Seton
4,FALSE,Norma Shearer,"August 10, 1902",A Free Soul,Jan Ashe
5,FALSE,Marie Dressler,"November 09, 1868",Emma,Emma
5,FALSE,Lynn Fontanne,"December 06, 1887",The Guardsman,The Actress
5,TRUE,Helen Hayes,"October 10, 1900",The Sin of Madelon Claudet,Madelon
6,TRUE,Katharine Hepburn,"May 12, 1907",Morning Glory,Eva Lovelace
6,FALSE,May Robson,"April 19, 1858",Lady for a Day,Apple Annie
6,FALSE,Diana Wynyard,"January 16, 1906",Cavalcade,Jane Marryot
7,TRUE,Claudette Colbert,"September 13, 1903",It Happened One Night,Ellie Andrews
7,FALSE,Bette Davis,"April 05, 1908",Of Human Bondage,Mildred
7,FALSE,Grace Moore,"December 05, 1898",One Night of Love,Mary
7,FALSE,Norma Shearer,"August 10, 1902",The Barretts of Wimpole Street,Elizabeth Barrett
8,FALSE,Elisabeth Bergner,"August 22, 1897",Escape Me Never,Gemma Jones
8,FALSE,Claudette Colbert,"September 13, 1903",Private Worlds,Jane Everest
8,TRUE,Bette Davis,"April 05, 1908",Dangerous,Joyce Heath
8,FALSE,Katharine Hepburn,"May 12, 1907",Alice Adams,Alice Adams
8,FALSE,Miriam Hopkins,"October 18, 1902",Becky Sharp,Becky Sharp
8,FALSE,Merle Oberon,"February 19, 1911",The Dark Angel,Kitty Vane
9,FALSE,Irene Dunne,"December 20, 1898",Theodora Goes Wild,Theodora Lynn
9,FALSE,Gladys George,"September 13, 1904",Valiant Is the Word for Carrie,Carrie Snyder
9,FALSE,Carole Lombard,"October 06, 1908",My Man Godfrey,Irene Bullock
9,TRUE,Luise Rainer,"January 12, 1910",The Great Ziegfeld,Anna Held
9,FALSE,Norma Shearer,"August 10, 1902",Romeo and Juliet,Juliet
10,FALSE,Irene Dunne,"December 20, 1898",The Awful Truth,Lucy Warriner
10,FALSE,Greta Garbo,"September 18, 1905",Camille,Marguerite Gautier (Camille)
10,FALSE,Janet Gaynor,"October 06, 1906",A Star Is Born,Esther Blodgett/Vicki Lester
10,TRUE,Luise Rainer,"January 12, 1910",The Good Earth,O-Lan
10,FALSE,Barbara Stanwyck,"July 16, 1907",Stella Dallas,Stella Dallas
11,FALSE,Fay Bainter,"December 07, 1893",White Banners,Hannah
11,TRUE,Bette Davis,"April 05, 1908",Jezebel,Julie Morrison
11,FALSE,Wendy Hiller,"August 15, 1912",Pygmalion,Eliza Doolittle
11,FALSE,Norma Shearer,"August 10, 1902",Marie Antoinette,Marie Antoinette
11,FALSE,Margaret Sullavan,"May 16, 1909",Three Comrades,Pat Hollmann
12,FALSE,Bette Davis,"April 05, 1908",Dark Victory,Judith Traherne
12,FALSE,Irene Dunne,"December 20, 1898",Love Affair,Terry McKay
12,FALSE,Greta Garbo,"September 18, 1905",Ninotchka,Lena Yakushova (Ninotchka)
12,FALSE,Greer Garson,"September 29, 1904","Goodbye, Mr. Chips",Katherine Chipping
12,TRUE,Vivien Leigh,"November 05, 1913",Gone with the Wind,Scarlett O'Hara
13,FALSE,Bette Davis,"April 05, 1908",The Letter,Leslie Crosbie
13,FALSE,Joan Fontaine,"October 22, 1917",Rebecca,Mrs. de Winter
13,FALSE,Katharine Hepburn,"May 12, 1907",The Philadelphia Story,Tracy Lord
13,TRUE,Ginger Rogers,"July 16, 1911",Kitty Foyle,Kitty Foyle
13,FALSE,Martha Scott,"September 22, 1912",Our Town,Emily Webb
14,FALSE,Bette Davis,"April 05, 1908",The Little Foxes,Regina Hubbard Giddens
14,FALSE,Olivia de Havilland,"July 01, 1916",Hold Back the Dawn,Emmy Brown
14,TRUE,Joan Fontaine,"October 22, 1917",Suspicion,Lina McLaidlaw
14,FALSE,Greer Garson,"September 29, 1904",Blossoms in the Dust,Edna Gladney
14,FALSE,Barbara Stanwyck,"July 16, 1907",Ball of Fire,Sugarpuss O'Shea
15,FALSE,Bette Davis,"April 05, 1908","Now, Voyager",Charlotte Vale
15,TRUE,Greer Garson,"September 29, 1904",Mrs. Miniver,Kay Miniver
15,FALSE,Katharine Hepburn,"May 12, 1907",Woman of the Year,Tess Harding
15,FALSE,Rosalind Russell,"June 04, 1907",My Sister Eileen,Ruth Sherwood
15,FALSE,Teresa Wright,"October 27, 1918",The Pride of the Yankees,Eleanor Gehrig
16,FALSE,Jean Arthur,"October 17, 1900",The More the Merrier,Connie Milligan
16,FALSE,Ingrid Bergman,"August 29, 1915",For Whom the Bell Tolls,Maria
16,FALSE,Joan Fontaine,"October 22, 1917",The Constant Nymph,Teresa 'Tessa' Sanger
16,FALSE,Greer Garson,"September 29, 1904",Madame Curie,Madame Marie Curie
16,TRUE,Jennifer Jones,"March 02, 1919",The Song of Bernadette,Bernadette Soubirous
17,TRUE,Ingrid Bergman,"August 29, 1915",Gaslight,Paula Alquist
17,FALSE,Claudette Colbert,"September 13, 1903",Since You Went Away,Anne Hilton
17,FALSE,Bette Davis,"April 05, 1908",Mr. Skeffington,Fanny Trellis Skeffington
17,FALSE,Greer Garson,"September 29, 1904",Mrs. Parkington,Susie Parkington
17,FALSE,Barbara Stanwyck,"July 16, 1907",Double Indemnity,Phyllis Dietrichson
18,FALSE,Ingrid Bergman,"August 29, 1915",The Bells of St. Mary's,Sister Benedict
18,TRUE,Joan Crawford,"March 23, 1904",Mildred Pierce,Mildred Pierce
18,FALSE,Greer Garson,"September 29, 1904",The Valley of Decision,Mary Rafferty
18,FALSE,Jennifer Jones,"March 02, 1919",Love Letters,Singleton
18,FALSE,Gene Tierney,"November 19, 1920",Leave Her to Heaven,Ellen Berent
19,TRUE,Olivia de Havilland,"July 01, 1916",To Each His Own,Jody Norris
19,FALSE,Celia Johnson,"December 18, 1908",Brief Encounter,Laura Jesson
19,FALSE,Jennifer Jones,"March 02, 1919",Duel in the Sun,Pearl Chavez
19,FALSE,Rosalind Russell,"June 04, 1907",Sister Kenny,Elizabeth Kenny
19,FALSE,Jane Wyman,"January 05, 1917",The Yearling,Ma Baxter
20,FALSE,Joan Crawford,"March 23, 1904",Possessed,Louise Howell
20,FALSE,Susan Hayward,"June 30, 1917",Smash-Up--The Story of a Woman,Angie
20,FALSE,Dorothy McGuire,"June 14, 1916",Gentleman's Agreement,Kathy
20,FALSE,Rosalind Russell,"June 04, 1907",Mourning Becomes Electra,Lavinia Mannon
20,TRUE,Loretta Young,"January 06, 1913",The Farmer's Daughter,Katrin Holstrom
21,FALSE,Ingrid Bergman,"August 29, 1915",Joan of Arc,Joan of Arc
21,FALSE,Olivia de Havilland,"July 01, 1916",The Snake Pit,Virginia Stuart Cunningham
21,FALSE,Irene Dunne,"December 20, 1898",I Remember Mama,Mama
21,FALSE,Barbara Stanwyck,"July 16, 1907","Sorry, Wrong Number",Leona Stevenson
21,TRUE,Jane Wyman,"January 05, 1917",Johnny Belinda,Belinda McDonald
22,FALSE,Jeanne Crain,"May 25, 1925",Pinky,Pinky
22,TRUE,Olivia de Havilland,"July 01, 1916",The Heiress,Catherine Sloper
22,FALSE,Susan Hayward,"June 30, 1917",My Foolish Heart,Eloise Winters
22,FALSE,Deborah Kerr,"September 30, 1921","Edward, My Son",Evelyn Boult
22,FALSE,Loretta Young,"January 06, 1913",Come to the Stable,Sister Margaret
23,FALSE,Anne Baxter,"May 07, 1923",All about Eve,Eve Harrington
23,FALSE,Bette Davis,"April 05, 1908",All about Eve,Margo Channing
23,TRUE,Judy Holliday,"June 21, 1921",Born Yesterday,Billie Dawn
23,FALSE,Eleanor Parker,"June 26, 1922",Caged,Marie Allen
23,FALSE,Gloria Swanson,"March 27, 1899",Sunset Blvd.,Norma Desmond
24,FALSE,Katharine Hepburn,"May 12, 1907",The African Queen,Rose Sayer
24,TRUE,Vivien Leigh,"November 05, 1913",A Streetcar Named Desire,Blanche DuBois
24,FALSE,Eleanor Parker,"June 26, 1922",Detective Story,Mary McLeod
24,FALSE,Shelley Winters,"August 18, 1920",A Place in the Sun,Alice Tripp
24,FALSE,Jane Wyman,"January 05, 1917",The Blue Veil,Louise Mason
25,TRUE,Shirley Booth,"August 30, 1898","Come Back, Little Sheba",Lola Delaney
25,FALSE,Joan Crawford,"March 23, 1904",Sudden Fear,Myra Hudson
25,FALSE,Bette Davis,"April 05, 1908",The Star,Margaret Elliot
25,FALSE,Julie Harris,"December 02, 1925",The Member of the Wedding,Frankie Addams
25,FALSE,Susan Hayward,"June 30, 1917",With a Song in My Heart,Jane Froman
26,FALSE,Leslie Caron,"July 01, 1931",Lili,Lili Daurier
26,FALSE,Ava Gardner,"December 24, 1922",Mogambo,Eloise 'Honey Bear' Kelly
26,TRUE,Audrey Hepburn,"May 04, 1929",Roman Holiday,Princess Anne
26,FALSE,Deborah Kerr,"September 30, 1921",From Here to Eternity,Karen Holmes
26,FALSE,Maggie McNamara,"June 18, 1928",The Moon Is Blue,Patty O'Neill
27,FALSE,Dorothy Dandridge,"November 09, 1922",Carmen Jones,Carmen Jones
27,FALSE,Judy Garland,"June 10, 1922",A Star Is Born,Esther Blodgett/Vicki Lester
27,FALSE,Audrey Hepburn,"May 04, 1929",Sabrina,Sabrina Fairchild
27,TRUE,Grace Kelly,"November 12, 1929",The Country Girl,Georgie Elgin
27,FALSE,Jane Wyman,"January 05, 1917",Magnificent Obsession,Helen Phillips
28,FALSE,Susan Hayward,"June 30, 1917",I'll Cry Tomorrow,Lillian Roth
28,FALSE,Katharine Hepburn,"May 12, 1907",Summertime,Jane Hudson
28,FALSE,Jennifer Jones,"March 02, 1919",Love Is a Many-Splendored Thing,Han Suyin
28,TRUE,Anna Magnani,"March 07, 1908",The Rose Tattoo,Serafina Della Rose
28,FALSE,Eleanor Parker,"June 26, 1922",Interrupted Melody,Marjorie Lawrence
29,FALSE,Carroll Baker,"May 28, 1931",Baby Doll,Baby Doll
29,TRUE,Ingrid Bergman,"August 29, 1915",Anastasia,The Woman
29,FALSE,Katharine Hepburn,"May 12, 1907",The Rainmaker,Lizzie Curry
29,FALSE,Nancy Kelly,"March 25, 1921",The Bad Seed,Christine Penmark
29,FALSE,Deborah Kerr,"September 30, 1921",The King and I,Anna
30,FALSE,Deborah Kerr,"September 30, 1921","Heaven Knows, Mr. Allison",Sister Angela
30,FALSE,Anna Magnani,"March 07, 1908",Wild Is the Wind,Gioia
30,FALSE,Elizabeth Taylor,"February 27, 1932",Raintree County,Susanna Drake
30,FALSE,Lana Turner,"February 08, 1921",Peyton Place,Constance MacKenzie
30,TRUE,Joanne Woodward,"February 27, 1930",The Three Faces of Eve,Eve White/Eve Black/Jane
31,TRUE,Susan Hayward,"June 30, 1917",I Want to Live!,Barbara Graham
31,FALSE,Deborah Kerr,"September 30, 1921",Separate Tables,Sibyl Railton-Bell
31,FALSE,Shirley MacLaine,"April 24, 1934",Some Came Running,Ginny Moorhead
31,FALSE,Rosalind Russell,"June 04, 1907",Auntie Mame,Auntie Mame Dennis
31,FALSE,Elizabeth Taylor,"February 27, 1932",Cat on a Hot Tin Roof,Maggie Pollitt
32,FALSE,Doris Day,"April 03, 1922",Pillow Talk,Jan Morrow
32,FALSE,Audrey Hepburn,"May 04, 1929",The Nun's Story,Sister Luke
32,FALSE,Katharine Hepburn,"May 12, 1907","Suddenly, Last Summer",Mrs. Venable
32,TRUE,Simone Signoret,"March 25, 1921",Room at the Top,Alice Aisgill
32,FALSE,Elizabeth Taylor,"February 27, 1932","Suddenly, Last Summer",Catherine Holly
33,FALSE,Greer Garson,"September 29, 1904",Sunrise at Campobello,Eleanor Roosevelt
33,FALSE,Deborah Kerr,"September 30, 1921",The Sundowners,Ida Carmody
33,FALSE,Shirley MacLaine,"April 24, 1934",The Apartment,Fran Kubelik
33,FALSE,Melina Mercouri,"October 18, 1920",Never on Sunday,Ilya
33,TRUE,Elizabeth Taylor,"February 27, 1932",Butterfield 8,Gloria Wandrous
34,FALSE,Audrey Hepburn,"May 04, 1929",Breakfast at Tiffany's,Holly Golightly
34,FALSE,Piper Laurie,"January 22, 1932",The Hustler,Sarah Packard
34,TRUE,Sophia Loren,"September 20, 1934",Two Women,Cesira
34,FALSE,Geraldine Page,"November 22, 1924",Summer and Smoke,Alma Winemiller
34,FALSE,Natalie Wood,"July 20, 1938",Splendor in the Grass,Wilma Dean Loomis
35,TRUE,Anne Bancroft,"September 17, 1931",The Miracle Worker,Annie Sullivan
35,FALSE,Bette Davis,"April 05, 1908",What Ever Happened to Baby Jane?,Jane Hudson
35,FALSE,Katharine Hepburn,"May 12, 1907",Long Day's Journey into Night,Mary Tyrone
35,FALSE,Geraldine Page,"November 22, 1924",Sweet Bird of Youth,Alexandra Del Lago
35,FALSE,Lee Remick,"December 14, 1935",Days of Wine and Roses,Kirsten Arnesen
36,FALSE,Leslie Caron,"July 01, 1931",The L-Shaped Room,Jane
36,FALSE,Shirley MacLaine,"April 24, 1934",Irma La Douce,Irma La Douce
36,TRUE,Patricia Neal,"January 20, 1926",Hud,Alma
36,FALSE,Rachel Roberts,"September 20, 1927",This Sporting Life,Mrs. Hammond
36,FALSE,Natalie Wood,"July 20, 1938",Love with the Proper Stranger,Angie
37,TRUE,Julie Andrews,"October 01, 1935",Mary Poppins,Mary Poppins
37,FALSE,Anne Bancroft,"September 17, 1931",The Pumpkin Eater,Jo Armitage
