Ceremony,Won,Name,Birthdate,Film
1,TRUE,Lewis Milestone,"September 30, 1895",Two Arabian Knights
1,FALSE,Ted Wilde,"December 16, 1889",Speedy
1,TRUE,Frank Borzage,"April 23, 1894",7th Heaven
1,FALSE,Herbert Brenon,"January 13, 1880",Sorrell and Son
1,FALSE,King Vidor,"February 08, 1894",The Crowd
2,FALSE,Lionel Barrymore,"April 28, 1878",Madame X
2,FALSE,Harry Beaumont,"February 10, 1888",The Broadway Melody
2,FALSE,Irving Cummings,"October 09, 1888",In Old Arizona
2,TRUE,Frank Lloyd,"February 02, 1886",The Divine Lady
2,FALSE,Frank Lloyd,"February 02, 1886",Drag; Weary River
2,FALSE,Ernst Lubitsch,"January 29, 1892",The Patriot
3,FALSE,Clarence Brown,"May 10, 1890",Anna Christie; Romance
3,FALSE,Robert Leonard,"October 07, 1889",The Divorcee
3,FALSE,Ernst Lubitsch,"January 29, 1892",The Love Parade
3,TRUE,Lewis Milestone,"September 30, 1895",All Quiet on the Western Front
3,FALSE,King Vidor,"February 08, 1894",Hallelujah
4,FALSE,Wesley Ruggles,"June 11, 1889",Cimarron
4,FALSE,Clarence Brown,"May 10, 1890",A Free Soul
4,FALSE,Lewis Milestone,"September 30, 1895",The Front Page
4,FALSE,Josef Von Sternberg,"May 29, 1894",Morocco
4,TRUE,Norman Taurog,"February 23, 1899",Skippy
5,TRUE,Frank Borzage,"April 23, 1894",Bad Girl
5,FALSE,King Vidor,"February 08, 1894",The Champ
5,FALSE,Josef Von Sternberg,"May 29, 1894",Shanghai Express
6,TRUE,Frank Lloyd,"February 02, 1886",Cavalcade
6,FALSE,Frank Capra,"May 18, 1897",Lady for a Day
6,FALSE,George Cukor,"July 07, 1899",Little Women
7,TRUE,Frank Capra,"May 18, 1897",It Happened One Night
7,FALSE,Victor Schertzinger,"April 08, 1888",One Night of Love
7,FALSE,W. S. Van Dyke,"March 21, 1889",The Thin Man
8,FALSE,Michael Curtiz,"December 24, 1886",Captain Blood
8,TRUE,John Ford,"February 01, 1894",The Informer
8,FALSE,Henry Hathaway,"March 13, 1898",The Lives of a Bengal Lancer
8,FALSE,Frank Lloyd,"February 02, 1886",Mutiny on the Bounty
9,FALSE,William Wyler,"July 01, 1902",Dodsworth
9,FALSE,Robert Z. Leonard,"October 07, 1889",The Great Ziegfeld
9,TRUE,Frank Capra,"May 18, 1897",Mr. Deeds Goes to Town
9,FALSE,Gregory La Cava,"March 10, 1892",My Man Godfrey
9,FALSE,W. S. Van Dyke,"March 21, 1889",San Francisco
10,TRUE,Leo McCarey,"October 03, 1898",The Awful Truth
10,FALSE,Sidney Franklin,"March 21, 1893",The Good Earth
10,FALSE,William Dieterle,"July 15, 1893",The Life of Emile Zola
10,FALSE,Gregory La Cava,"March 10, 1892",Stage Door
10,FALSE,William Wellman,"February 29, 1896",A Star Is Born
11,FALSE,Michael Curtiz,"December 24, 1886",Angels with Dirty Faces
11,FALSE,Norman Taurog,"February 23, 1899",Boys Town
11,FALSE,King Vidor,"February 08, 1894",The Citadel
11,FALSE,Michael Curtiz,"December 24, 1886",Four Daughters
11,TRUE,Frank Capra,"May 18, 1897",You Can't Take It with You
12,TRUE,Victor Fleming,"February 23, 1889",Gone with the Wind
12,FALSE,Sam Wood,"July 10, 1883","Goodbye, Mr. Chips"
12,FALSE,Frank Capra,"May 18, 1897",Mr. Smith Goes to Washington
12,FALSE,John Ford,"February 01, 1894",Stagecoach
12,FALSE,William Wyler,"July 01, 1902",Wuthering Heights
13,TRUE,John Ford,"February 01, 1894",The Grapes of Wrath
13,FALSE,Sam Wood,"July 10, 1883",Kitty Foyle
13,FALSE,William Wyler,"July 01, 1902",The Letter
13,FALSE,George Cukor,"July 07, 1899",The Philadelphia Story
13,FALSE,Alfred Hitchcock,"August 13, 1899",Rebecca
14,FALSE,Orson Welles,"May 06, 1915",Citizen Kane
14,FALSE,Alexander Hall,"January 11, 1894",Here Comes Mr. Jordan
14,TRUE,John Ford,"February 01, 1894",How Green Was My Valley
14,FALSE,William Wyler,"July 01, 1902",The Little Foxes
14,FALSE,Howard Hawks,"May 30, 1896",Sergeant York
15,FALSE,Sam Wood,"July 10, 1883",Kings Row
15,TRUE,William Wyler,"July 01, 1902",Mrs. Miniver
15,FALSE,Mervyn LeRoy,"October 15, 1900",Random Harvest
15,FALSE,John Farrow,"February 10, 1904",Wake Island
15,FALSE,Michael Curtiz,"December 24, 1886",Yankee Doodle Dandy
16,TRUE,Michael Curtiz,"December 24, 1886",Casablanca
16,FALSE,Ernst Lubitsch,"January 29, 1892",Heaven Can Wait
16,FALSE,Clarence Brown,"May 10, 1890",The Human Comedy
16,FALSE,George Stevens,"December 18, 1904",The More the Merrier
16,FALSE,Henry King,"January 24, 1886",The Song of Bernadette
17,FALSE,Billy Wilder,"June 22, 1906",Double Indemnity
17,TRUE,Leo McCarey,"October 03, 1898",Going My Way
17,FALSE,Otto Preminger,"December 05, 1905",Laura
